filename;TITLE;ARTIST;ALBUM;COMPOSER;COMMENT
"aurora-01.flac";"Glass Garden (Live at North Pier, 2024)";"Mira Vale & The Low Clouds";"Imaginary Broadcasts: Volume 1 [Deluxe Edition]";"Mira Vale / Noam Kestrel";"Live performance; crowd noise retained."
"aurora-02.flac";"Paper Moon, Neon Sea";"Juniper Static";"Imaginary Broadcasts: Volume 1 [Deluxe Edition]";"Juniper Static; Elian Rowe";"Studio version."
"aurora-03.flac";"Signal.No.7: After Midnight";"The Atlas Room";"Imaginary Broadcasts: Volume 1 [Deluxe Edition]";"R. Vale / K. Orson / L. Finch";"Contains dots, colon, and numeric title marker."
"aurora-04.flac";"Blue Lanterns (Acoustic Session)";"Nora Glass feat. Elio Park";"Imaginary Broadcasts: Volume 1 [Deluxe Edition]";"Nora Glass / Elio Park";"Acoustic session take."
"aurora-05.flac";"[Interlude] Static Birds";"Northline Assembly";"Imaginary Broadcasts: Volume 1 [Deluxe Edition]";"Northline Assembly";"Bracketed title prefix."
"aurora-06.flac";"Velvet, Thunder; Rain";"Kite Harbor";"Imaginary Broadcasts: Volume 1 [Deluxe Edition]";"Kite Harbor / Sera Wynn";"Title includes comma and semicolon."
"aurora-07.flac";"Echoes — West Hall Reprise";"Orrin Vale with Glass Choir";"Imaginary Broadcasts: Volume 1 [Deluxe Edition]";"Orrin Vale; Glass Choir";"Uses em dash and with-credit."
"aurora-08.flac";"One Last Window (Demo Ver.)";"The Paper Satellites";"Imaginary Broadcasts: Volume 1 [Deluxe Edition]";"The Paper Satellites";"Demo version."
"aurora-09.flac";"The Clockmaker's Waltz";"Iris Bell";"Imaginary Broadcasts: Volume 1 [Deluxe Edition]";"Iris Bell / Mateo Quill";"Apostrophe in title."
"aurora-10.flac";"Room 404: ""Do Not Wake""";"Fable Circuit";"Imaginary Broadcasts: Volume 1 [Deluxe Edition]";"Fable Circuit";"Quoted phrase inside title."
